# m=0, S=4
3.70854 2.07958
3.73116 2.09565
3.75377 2.11126
3.77638 2.12642
3.79899 2.1411
3.82161 2.15529
3.84422 2.16899
3.86683 2.18218
3.88945 2.19484
3.91206 2.20698
3.93467 2.21857
3.95729 2.22961
3.9799 2.24008
4.00251 2.24997
4.02513 2.25927
4.04774 2.26801
4.07035 2.27619
4.09296 2.28384
4.11558 2.29097
4.13819 2.29761
4.1608 2.30377
4.18342 2.30946
4.20603 2.31471
4.22864 2.31953
4.25126 2.32394
4.27387 2.32797
4.29648 2.33162
4.3191 2.33492
4.34171 2.33788
4.36432 2.34052
4.38693 2.34286
4.40955 2.34491
4.43216 2.34671
4.45477 2.34825
4.47739 2.34957
4.5 2.35067
