# m=0, S=4
3.75377 0.265069
3.77638 0.0817056
3.79899 -0.097669
3.82161 -0.273054
3.84422 -0.44445
3.86683 -0.611857
3.88945 -0.775274
3.91206 -0.934702
3.93467 -1.09014
3.95729 -1.24159
3.9799 -1.38905
4.00251 -1.53251
4.02513 -1.6705
4.04774 -1.80208
4.07035 -1.92724
4.09296 -2.04598
4.11558 -2.1583
4.13819 -2.26421
4.1608 -2.3637
4.18342 -2.45676
4.20603 -2.54341
4.22864 -2.62364
4.25126 -2.69746
4.27387 -2.76485
4.29648 -2.82582
4.3191 -2.88038
4.34171 -2.92852
4.36432 -2.97024
4.38693 -3.00554
4.40955 -3.03442
4.43216 -3.05689
4.45477 -3.07294
4.47739 -3.08256
4.5 -3.08577
# m=4, S=0
0 0
0.0226131 0.0212829
0.0452261 0.0399103
0.0678392 0.0558975
0.0904523 0.0692695
0.113065 0.0800615
0.135678 0.0883188
0.158291 0.0940967
0.180905 0.0974604
0.203518 0.0984855
0.226131 0.0972573
0.248744 0.0938714
0.271357 0.0884334
0.29397 0.0810588
0.316583 0.0718734
0.339196 0.0610128
0.361809 0.0486228
0.384422 0.0348593
0.407035 0.0198882
0.429648 0.00388535
0.452261 -0.0129632
0.474874 -0.0304614
0.497487 -0.0484031
0.520101 -0.0665729
0.542714 -0.0847554
0.565327 -0.102748
0.58794 -0.120361
0.610553 -0.137422
0.633166 -0.153768
0.655779 -0.169253
0.678392 -0.183745
0.701005 -0.197125
0.723618 -0.209289
0.746231 -0.220146
0.768844 -0.22962
0.791457 -0.237649
0.81407 -0.244184
0.836683 -0.249191
0.859296 -0.25265
0.88191 -0.254555
0.904523 -0.254914
0.927136 -0.253748
0.949749 -0.251094
0.972362 -0.247002
0.994975 -0.241536
1.01759 -0.234774
1.0402 -0.226803
1.06281 -0.217717
1.08543 -0.207609
1.10804 -0.196579
1.13065 -0.184725
1.15327 -0.172153
1.17588 -0.158969
1.19849 -0.145282
1.22111 -0.131204
1.24372 -0.116852
1.26633 -0.102342
1.28894 -0.0877973
1.31156 -0.0733405
1.33417 -0.0590991
1.35678 -0.0452029
1.3794 -0.0317846
1.40201 -0.01898
1.42462 -0.00692765
1.44724 0.00423089
